mp_id,club,last_name,dim1,dim2
1,PiS,Adamczyk,1.1299404592389632,-0.47595047075372116
2,KO,Adamowicz,-0.9694590687712374,-0.003943612620874
3,PiS,Andruszkiewicz,1.0457328898485383,0.017937995456965325
4,PiS,Andzel,1.141224772107276,-0.5586249364515631
5,PiS,Arciszewska-Mielewczyk,1.1571321610061123,-0.13346410120280283
6,Demokracja,Ardanowski,0.8014817460058148,0.7169005505211123
7,PiS,Arent,1.1926880125948098,-0.49643299971311516
8,KO,Arłukowicz,-0.9212550114739793,-0.40011147760716326
9,PiS,Ast,1.1594087037218712,-0.5369162561124575
10,KO,Augustyn,-1.0151716725668551,0.029455130005456902
11,PiS,Babinetz,1.2038488277955899,-0.44010847577437967
12,PiS,Bartosik,1.127280208743225,-0.23912066916145283
13,PSL-TD,Bartoszewski,-0.9840291584307761,0.47851705003664163
14,PiS,Bartuś,1.2180209848821293,-0.5705096373845134
15,PSL-TD,Bejda,-1.0283040876422467,0.6056610559472217
16,Konfederacja,Berkowicz,0.3976175608886511,3.967293344119977
17,KO,Bielawska,-1.0208925427128892,-0.010709084417065586
18,PSL-TD,Biernacki,-1.0021197593625442,0.7437666508275941
19,KO,Bliźniuk,-0.9538178778617411,-0.07140079440947694
20,PiS,Błaszczak,1.2059178150573184,-0.5933657794115712
21,KO,Bochenek,-1.026661374715017,0.0006211586512082266
22,PiS,Bochenek,1.2032752570368597,-0.5562847299930073
23,Centrum,Bodnar,-0.7985676791562752,0.06372989609360613
24,PiS,Bogucki,1.041107537017655,0.10722798929803236
25,PiS,Bogucki,1.2233070689210024,-0.32241396071120737
26,KO,Bojarski,-1.010759670477848,-0.011115360762131729
27,PiS,Borowiak,1.2137153288447762,-0.5746518724870784
28,PiS,Bortniczuk,1.2229668124618402,-0.39838619064456104
29,KO,Borys,-0.9066856437182141,-0.05739242551002577
30,PiS,Borys-Szopa,1.1875250040986127,-0.5480531846041383
31,KO,Bosacki,-0.9338239376216856,-0.043939206076111445
32,Konfederacja,Bosak,0.5756354105528232,4.550725212056319
33,Konfederacja,Bosak,0.6035392194246862,4.740610351330354
34,Konfederacja,Braun,0.5756028108229398,3.055070899220141
35,KO,Brejza,-0.9801185019691449,-0.29043533391882104
36,Polska2050,Buczyńska,-0.7544889566014452,0.03260036498183351
37,PiS,Buda,1.2054591364218568,-0.24268597002646322
38,KO,Budka,-0.6833519562092759,-0.31716943753060045
39,Centrum,Burkiewicz,-0.6593580792532258,-0.1286448849961436
40,PiS,Burzyńska,1.2510717567078609,-0.6398478200091307
41,KO,Chmielewski,-1.0267328922340897,-0.003423563521238949
42,PiS,Chmielowiec,0.9560670844447076,-0.03339761068275243
43,PiS,Chojecki,1.165166764210196,-0.328986625310025
44,PiS,Choma,1.181789843608222,-0.07461242092262123
45,PiS,Chorosińska,1.0380919230630634,-0.17405959522100198
46,PiS,Chrzan,1.0324615161101613,-0.12326848664452812
47,KO,Chybicka,-0.9629253554734177,-0.1334586424110598
48,PiS,Cicholska,1.153126295402387,-0.08897444797220076
49,KO,Cichoń,-0.9206650546540842,-0.07681942090764916
50,PiS,Ciecióra,0.9983106166630886,-0.025156247721773634
51,PiS,Cieszyński,0.8192481856362303,-0.19831588671641204
52,PiS,Cieślak,1.061584039535045,0.10382763515347673
53,Centrum,Cwalina-Śliwowska,-0.7579358623825283,0.023685618536955562
54,PiS,Czarnecki,1.174164541794324,-0.4491036102631385
55,PiS,Czarnecki,1.2223475895504115,-0.6764108751492559
56,PiS,Czarnek,1.0807533555944693,0.15723211536517664
57,PiS,Czartoryski,1.0917170073366707,-0.33302955022870684
58,Lewica,Czarzasty,-0.7910746972738592,-1.3514338540800546
59,Lewica,Czerniak,-0.8412480582555829,-1.380901146129487
60,KO,Czernow,-1.0356637531300297,0.004230910621129215
61,PiS,Czerwińska,1.2015717346323265,-0.5946177883494402
62,PiS,Czochara,1.1126111986502223,-0.12546643405564536
63,Centrum,Ćwik,-0.7340009384358039,-0.025811907959415067
64,PiS,Dajczak,1.1829272278451008,-0.10971876106746781
65,PiS,Dąbrowska-Banaszek,1.0792837691438801,-0.37750500015383825
66,PiS,Dolata,1.0529277761480502,-0.13883331022230172
67,KO,Dolniak,-1.0233771744874034,-0.0027611505115228323
68,KO,Domański,-1.041948266264509,-0.058378380895681446
69,PiS,Dorywalski,1.1783044122097521,0.005445673420631712
70,KO,Dowhan,-0.7212312846335098,0.050935800620619316
71,PiS,Drabek,1.1776243420939623,-0.4889662300493431
72,PiS,Duda,1.1388469377846955,-0.2584444087021184
73,PiS,Dworczyk,1.1867068910902396,-0.46266901465671156
74,PSL-TD,Dziedzic,-0.912274842864714,0.46002515221519147
75,PiS,Dziedziczak,1.2499224023782574,-0.6405935454390785
76,Lewica,Dziemianowicz-Bąk,-0.7760194355775212,-1.374327778228885
77,KO,Filiks,-0.8645384756379062,-0.05834212341086496
78,PiS,Filipek-Sobczak,1.1994418271476135,-0.38400344985454027
79,PiS,Fogiel,1.113929036572373,-0.4528593394691124
80,Konfederacja,Foltyn,0.5199504504726578,4.57847571639038
81,Konfederacja_KP,Fritz,0.7577389802213251,5.657152899353785
82,KO,Frydrych,-0.9962044680885299,-0.008674767141225913
83,KO,Frysztak,-0.9511098235060176,-0.0887882174223667
84,KO,Gabriel,-0.9124677266520113,-0.13664103287470097
85,KO,Gadowski,-0.956748674015105,-0.033950791171681816
86,KO,Gajewska,-1.0197758153514125,-0.003935264293202115
87,KO,Gajewska,-1.0195126703639756,-0.008128344937435854
88,KO,Gapińska,-0.96703321647288,-0.05583068441085594
89,KO,Gasiuk-Pihowicz,-0.9506143932397172,-0.3772117657248832
90,Lewica,Gawkowski,-0.7233274573830882,-0.9895247477219266
91,KO,Gawlik,-0.9633369186662889,0.01831730097726748
92,PiS,Gawron,1.0565820512466266,0.08534206097075557
93,PiS,Gaża,1.127211161275585,0.033436430903773975
94,KO,Gelert,-0.9665628478085959,-0.05350006171514479
95,PiS,Gembicka,0.9721044064590489,-0.3453053112127729
96,KO,Gierada,-0.9389571754981745,-0.08471329092733622
97,KO,Giertych,-0.9623569372934357,-0.06995616507214997
98,KO,Giziński,-0.9812878539237371,-0.033951545186791825
99,PiS,Giżyński,1.1349828259038115,-0.3185335680193685
100,PiS,Gliński,1.2088152937890526,-0.5971902586132228
101,KO,Głogowski,-0.963588407475453,-0.06721110385385669
102,KO,Głowski,-0.9919230385493786,0.0016053230452733529
103,KO,Golbik,-0.9918323876972106,0.008294510983156428
104,PiS,Golińska,1.2107005197232341,-0.504727843317919
105,PiS,Gołojuch,1.038098213708902,-0.1353735992424096
106,Polska2050,Gomoła,-0.7493319287293277,-0.08448504958997263
107,PiS,Gontarz,1.1371710337688503,-0.33359610269822176
108,KO,Gorczyca,-0.8357968167735542,0.008213204309597256
109,PiS,Gosek,1.0207666045556256,0.11038365217004409
110,Lewica,Gosek-Popiołek,-0.6700472702355565,-1.4012418727525258
111,PiS,Gosiewska,1.2116980832664472,-0.5481189862961167
112,Polska2050,Górnikiewicz,-0.7070857740952652,0.013167696946832251
113,PiS,Górska,1.2142586698779088,0.08635885775524983
114,KO,Grabczuk,-1.0228277066620939,-0.006028094703971349
115,KO,Grabiec,-0.927763682000765,0.009992450807700415
116,PiS,Grabowski,1.2107332020111148,-0.22735928776645836
117,Polska2050,Gramatyka,-0.7566759818461724,0.050992646185851906
118,KO,Gromadzka,-1.0005485114538024,0.07150133863925164
119,PiS,Gróbarczyk,1.2238388354615553,-0.5531273732959308
120,PSL-TD,Grzyb,-0.967029447947241,0.8470592820275666
121,PiS,Gut-Mostowy,1.1883862823049265,-0.34752022299572205
122,PiS,Gwiazdowski,1.1444155969672056,-0.28952613926541965
123,PiS,Gwóźdź,1.1658851973925062,-0.3493496742291775
124,KO,Gzik,-1.0236065535628802,-0.029143212188645386
125,KO,Habura,-0.9809127631493927,-0.07953086769233866
126,KO,Hanajczyk,-1.0094756883106104,-0.04269619715859381
127,KO,Hartwich,-1.0226315000238708,-0.004568940163282793
128,Centrum,Hennig-Kloska,-0.779883608731238,-0.029838910774493414
129,PSL-TD,Hetman,-0.7399555696811838,0.09758164024763571
130,PiS,Hoc,1.1747270537105223,-0.43755743173124567
131,PiS,Hoffmann,1.2523445160444702,-0.5727415183324082
132,KO,Hok,-1.0176365154280527,-0.008947065834659923
133,Polska2050,Hołownia,-0.7010536133928236,-0.04200534869708687
134,PiS,Horała,1.272686747961653,-0.4681327537224918
135,KO,Horbatowski,-0.9799611251691424,-0.10728541762377848
136,PiS,Hreniak,1.198191206602975,-0.53987794103614
137,PiS,Jabłoński,1.0814055436140129,-0.11910554637883125
138,KO,Jachira,-0.7376662459975648,-0.6421323666471381
139,niez.,Jakubiak,0.7745867065165047,0.7782744196486232
140,KO,Janyska,-1.0112382149538661,-0.003525885050992815
141,KO,Jaros,-0.9731259645963232,0.02203740546191499
142,KO,Jaskulski,-0.9392876515431129,-0.13941768770540444
143,KO,Jazłowiecka,-1.009173772531135,-0.020532985781060702
144,KO,Joński,-0.9233988532781339,-0.4168230609740455
145,niez.,Józefaciuk,-0.5058735727921236,-0.5211616551006503
146,PiS,Kaczmarczyk,1.0818383800502782,0.26952522135437784
147,PiS,Kaczyński,1.0995133366860097,-0.19463188296923917
148,PiS,Kaczyński,1.1468594971083974,-0.6262648399393929
149,PiS,Kaleta,1.0737670546336906,-0.20711940422030814
150,PiS,Kaleta,1.0578550345292432,-0.025154870949327217
151,PiS,Kałużny,1.1397546636748612,0.10315014204130658
152,PiS,Kamiński,1.123789125776538,-0.40302622141216726
153,KO,Kandyba,-1.022323412718524,0.10312617564880493
154,PiS,Kanthak,1.2086850540967133,-0.2597689357657902
155,PiS,Kapinos,1.1482273249355222,0.02506625471167258
156,KO,Karnowski,-1.0108921866700264,0.044025465779905244
157,KO,Karolewska,-0.9827935536349244,-0.03597725520798957
158,Centrum,Kasprzyk,-0.7660520440082588,0.03222960041840038
159,PSL-TD,Kiepura,-1.0262012994099876,0.5523751270921269
160,KO,Kierwiński,-0.682067529617714,-0.2889604140436104
161,KO,Kierzek-Koperska,-1.0265620957235406,-0.011566280997657902
162,PSL-TD,Klimczak,-0.8784111892543318,0.3523121471779927
163,KO,Kluzik-Rostkowska,-1.022343139162819,-0.0019364685801516782
164,PSL-TD,Kłopotek,-0.9879212682439655,0.4635407836259679
165,PiS,Kmita,1.1683321878026474,-0.3327786425915995
166,Polska2050-TD,Kobosko,-0.993981422506969,-0.00421700734810269
167,PiS,Koc,1.1450892152560057,-0.02434280108809208
168,KO,Kołodziej,-0.9943216187303273,-0.013993147565305968
169,KO,Kołodziejczak,-0.988409001067494,-0.006801960935422039
170,KO,Kołodziejczak,-0.8923977936073723,0.016862982096682643
171,Centrum,Komarewicz,-0.7760442975274487,-0.05679077771783037
172,Razem,Konieczny,-0.1462101956306306,-1.2616973105745435
173,KO,Konwiński,-1.0103838664514866,-0.007779268219893499
174,PSL-TD,Kosiniak-Kamysz,-0.911528501487298,0.43534850507137735
175,KO,Kostuś,-1.026683659039266,0.0006878377233742608
176,PiS,Kosztowniak,1.2170407583654563,-0.516110352390522
177,Lewica,Kotula,-0.8003035644028764,-1.463090695037688
178,KO,Kowal,-0.946342703189964,-0.015180237171089647
179,PiS,Kowalczyk,1.2359973497850412,-0.5551028113629689
180,niez.,Kowalski,0.9059920826252268,0.27178889789126043
181,PiS,Kownacki,1.1265866996329164,-0.29344324290009777
182,KO,Kozłowska,-1.020937359775709,-0.0053893613489753205
183,PSL-TD,Krajewski,-0.9470257020678258,0.49637529228524213
184,PiS,Krajewski,1.138072141935501,-0.2767609431517697
185,PiS,Krasulski,1.1914339681179034,-0.5673220823761967
186,KO,Krawczyk,-0.9656665380640631,-0.04901565872831918
187,KO,Krawczyk,-1.0055266988433635,0.0006744542812906553
188,KO,Kropiwnicki,-1.0387102052254042,0.007559537426609572
189,PiS,Król,1.1757538814288329,-0.4734811037870817
190,KO,Król,-1.0225748576775966,-0.004281393891321959
191,PiS,Krupka,1.1193132709824396,-0.44842586255257255
192,PiS,Kryj,1.1606868327436217,-0.39787367949467284
193,PiS,Krystian,1.0619055947382068,-0.015522539103932444
194,KO,Krząkała,-1.0259867147521564,-0.0034252955640427314
195,KO,Krzemiński,-1.0213392918784197,-0.00810312079257732
196,KO,Krzywonos-Strycharska,-0.9253199372920429,-0.072839332880593
197,PiS,Kubów,1.1559270130652657,-0.47047623577702186
198,Lewica,Kucharska-Dziedzic,-0.8242929203154973,-1.3335176685173051
199,PiS,Kuchciński,1.144154583016843,-0.5305375861640855
200,Demokracja,Kukiz,0.509630290232399,1.5788397260955942
201,Lewica,Kulasek,-0.7862390501806881,-1.269406878721323
202,PiS,Kurowska,1.0113646941667114,0.39071441272393315
203,PiS,Kurowski,1.0671713076812794,-0.1448172752302691
204,PiS,Kuźmiuk,1.0955301223608584,-0.38280191231592686
205,PiS,Kwiecień,1.0118501261566715,-0.1979843879468279
206,KO,Lachowicz,-0.9533803321196282,0.01360570862757462
207,KO,Lamczyk,-0.9097516036513167,0.011939273660652446
208,KO,Lasek,-1.0175068343339344,-0.016672194551190126
209,KO,Lenartowicz,-0.995062972605738,-0.0047548630346753995
210,PiS,Leniart,1.1073972275274142,-0.2617222892812606
211,Centrum,Leo,-0.788544863219978,-0.04399778788992946
212,KO,Leszczyna,-0.9166551949148264,-0.01081081311223184
213,PiS,Lichocka,1.088075125517626,-0.49065262529152764
214,PiS,Lipiec,1.0561273701555385,-0.2739737044284987
215,Lewica,Litewka,-0.8109019429885487,-1.4042446362222487
216,PiS,Lorek,1.1779081078043985,0.06080019524420201
217,PSL-TD,Lubczyk,-0.970273926406991,0.5405701993060064
218,KO,Lubnauer,-0.9603161468865401,-0.045828257774429615
219,Polska2050,Luboński,-0.7302181738671173,0.036083097633180385
220,KO,Łącki,-0.9940966376903825,0.02867937368391519
221,KO,Łepkowska-Gołaś,-0.9387414017704794,-0.07745039453913538
222,KO,Łoboda,-1.0162055624484114,-0.013833489405274941
223,KO,Łuczak,-1.0218505474465043,-0.005572748388222764
224,PiS,Łukaszewicz,1.062679533776781,0.07721195680719237
225,PiS,Machałek,1.1047744629363554,-0.4125777724495788
226,PiS,Macierewicz,1.174520479514544,-0.4265652916566272
227,PiS,Maląg,1.258374739255176,-0.7557703316615783
228,PiS,Malik,1.1803338994539738,-0.5872673680000084
229,PSL-TD,Maliszewski,-1.0401525941871983,0.6514807780417964
230,PiS,Małecki,1.087867612198511,-0.3360792568879754
231,KO,Marchewka,-0.9922622854567965,-0.012779619599026007
232,KO,Marczułajtis-Walczak,-0.9037378869572559,-0.4458478392849528
233,KO,Marek,-1.0272822116749536,0.004894912044629149
234,PiS,Matecki,0.9825171200856909,0.3881632024915001
235,PiS,Materna,0.9613054927680126,0.19758530785047068
236,PiS,Matusiak,1.1081275216076156,-0.29723147832644226
237,KO,Matusik-Lipiec,-0.952408371624877,-0.14005431103715715
238,PiS,Matuszewski,1.1798032095837816,-0.41268183462654145
239,niez.,Matysiak,-0.09110840450508685,-1.1848870956730273
240,niez.,Mejza,1.0700567960572605,-0.16074941992810313
241,Konfederacja,Mentzen,0.42082084580218,4.499634159950643
242,PiS,Milczanowska,1.0893441004251974,-0.325251610766724
243,PiS,Milewski,1.0694005952973886,-0.307476274856357
244,KO,Miller,-0.9418452018352177,-0.27109315205008333
245,KO,Miszalski,-0.9085781185940177,-0.37262438256215424
246,PiS,Morawiecki,1.0936010094169377,-0.2882255027351814
247,PiS,Mosiński,1.2110512004298704,-0.47456824401772063
248,PiS,Moskal,1.1315466794176254,-0.18828707136549186
249,KO,Mroczek,-0.8788705321479502,-0.11589636187540706
